p,PCA,a^2=0,a^2=0.25,a^2=0.5,a^2=0.75,a^2=1
100,0.1532893170748956,0.1531584649908573,0.16122880331573497,0.1716289613334251,0.18442926958836284,0.2006701031010814
200,0.15847957842740384,0.1582830800266233,0.16698696211748845,0.1786355498720428,0.1936699877474126,0.2157925496561205
500,0.14330267410244205,0.14318980333780856,0.15383903788704673,0.16677255953649028,0.18217679188544653,0.20136989113568896
1000,0.15989440659560655,0.15983773965402667,0.17222930936778846,0.18704600470094004,0.20518046286063835,0.22852949105521062
2000,0.1591947269270524,0.15915866736988213,0.17049716486745325,0.18455150574861173,0.20239939946721885,0.22749886068251673
