p,PCA,a^2=0,a^2=0.25,a^2=0.5,a^2=0.75,a^2=1
100,1.3457633697411173,1.3462994374220725,1.333301972466301,1.319895521371639,1.3056222135701012,1.2903288051472053
200,1.3375752591070214,1.337926837078071,1.3245215155471868,1.3098498315698404,1.293618569545367,1.2743417249717335
500,1.3771931924051837,1.3773153582976487,1.3637656572112133,1.3491430030899818,1.3333223381243249,1.3156480531735384
1000,1.3373548657635914,1.3374092661008978,1.320922219346109,1.3032318332136572,1.2838424044141943,1.2619566525178536
2000,1.35489002935616,1.3549222473395905,1.3412248047460544,1.3263303106862032,1.309798710791528,1.2905930279424496
