p,ARG1,PCA1,ARG2,PCA2
100,0.8324017484990333,0.9281659472401276,1.3232855821167921,1.341950334792537
200,0.85074871995484,0.9500193493156409,1.3468448934923254,1.36726164597002
500,0.8084778032024207,0.9320595250972733,1.3831816715789043,1.4009366877424458
1000,0.829979171615123,0.9561123811119974,1.3498481554554869,1.3713805542557946
2000,0.8360217055162102,0.95296167357955,1.3627113555742614,1.379342645866852
