p,PCA,a^2=0,a^2=0.25,a^2=0.5,a^2=0.75,a^2=1
100,1.0139669872272767,1.0168826350809301,0.9597288716232114,0.8915556264485744,0.8048386700320755,0.6818595532624495
200,0.910576048604363,0.9129997546402432,0.8409798577913109,0.749131993111224,0.6226570559030428,0.40417164533291144
500,0.8510276463560502,0.8523264736812908,0.7712068172141019,0.66527078412487,0.5121847567453878,0.18113227971700635
1000,0.8189765194651547,0.8197363381022741,0.7399856332970544,0.6347862585585209,0.4784745613087163,0.08907291583624076
2000,0.8078454423091337,0.8082578772300668,0.730188851336224,0.6262164314386768,0.4698147225800616,0.0417621861724411
