p,PCA,a^2=0,a^2=0.25,a^2=0.5,a^2=0.75,a^2=1
100,0.18344795279358111,0.18328313296242088,0.19020661308048842,0.2046727049130791,0.23174519634317658,0.28842605643759595
200,0.1362588403841665,0.13671717184380802,0.13593602943386668,0.140438550719081,0.15639064424823945,0.21357126517744224
500,0.09332056996446142,0.09350494341142462,0.07805624064517788,0.06568089681713547,0.061835687971562414,0.1117788930130597
1000,0.06774141590349692,0.06779498876221031,0.05078038239832353,0.034387661305509264,0.020541764616409375,0.05041643203279833
2000,0.05936183470637925,0.05950000671596821,0.04267880015202245,0.027084767209604853,0.012973290786028966,0.030118379736402176
