p,ARG1,PCA1,ARG2,PCA2
100,0.09578550272888138,0.09473314056581178,0.21430224551431717,0.19820898660492048
200,0.04531468798801887,0.06200174947734839,0.1331534645982995,0.13183111204551765
500,0.0215341099758798,0.0634437628184445,0.07641637438790128,0.0830564597990195
1000,0.011428443354741247,0.0538834815700621,0.060237040746040416,0.07185571651168239
2000,0.009145911265803724,0.048153819522530616,0.0574400630548703,0.06894718409846555
