p,ARG1,PCA1,ARG2,PCA2
100,0.20826984913781485,0.17068515545873578,0.16886530416901552,0.15241694418448773
200,0.23058785184404587,0.18058797996009773,0.1624417011996114,0.1446447397479467
500,0.23709719542106641,0.18309316671973924,0.14250344078296953,0.1265647514258972
1000,0.23553593176975907,0.183259356020874,0.167501976053415,0.14656216910249073
2000,0.23043878651944472,0.17976538742288609,0.14432364760908178,0.13089195289719435
